Place ID,Name,Summary,Price Level,Address,Overall Rating,Opening Hours,Total Reviews,Reviews,Review Ratings
ChIJXaMnx5tPqEcRGOVrSo2iSQ0,leuchtstoff - Kaffeebar und Bakery,Cozy couches & hip music selections in a busy coffee shop known for cinnamon rolls & vegan pastries.,2,"Siegfriedstraße 18, Berlin-Bezirk Neukölln",4.5,"Monday: 7:30 AM – 6:00 PM, Tuesday: 7:30 AM – 6:00 PM, Wednesday: 7:30 AM – 6:00 PM, Thursday: 7:30 AM – 6:00 PM, Friday: 7:30 AM – 6:00 PM, Saturday: 9:00 AM – 6:00 PM, Sunday: 9:00 AM – 6:00 PM",656,"['I love this place! They have amazing coffee and great vibes. The food is also nice.\n\nJust a tip though: do not order their cold brew. It’s a massive rip off. it costs five euros and is probably 100ml of coffee in the tiniest glass you’ve ever seen.', 'i have been here many times and the coffee tastes different each time. sometimes great, sometimes not', ""Coffee and croissants were tasty. I can't rate the sandwiches unfortunately: I asked the staff if they could make me a sandwich leaving out one ingredient as i am pregnant. The lady said no, they were too busy...it was 9 o'clock on a Saturday, there were three other customers in the room, two staff members behind the counter doing nothing, chatting away and one guy in the kitchen - very disappointing!""]","[5, 3, 2]"
ChIJH3GIbJtPqEcRiGkSKyp4LIk,Asude Yemek Dünyası,Generously portioned homestyle Turkish dishes like grilled meat platters in a buzzing eatery.,1,"Hermannstraße 120, Berlin-Bezirk Neukölln",4.4,"Monday: 5:00 AM – 2:00 AM, Tuesday: 5:00 AM – 2:00 AM, Wednesday: 5:00 AM – 2:00 AM, Thursday: 5:00 AM – 2:00 AM, Friday: 5:00 AM – 1:00 PM, 2:00 PM – 2:00 AM, Saturday: 5:00 AM – 2:00 AM, Sunday: 5:00 AM – 2:00 AM",1421,"[""My favourite halal restaurant in Berlin. Went there multiple times , and haslama (not in this photo review) is my favourite\n\nAlthough speaking in English is sometimes challenging but they've big monitors displaying ffoodphotos & name7s make it easier.\n\nIt is one of the most busiest restaurants in the street, so you might have to be in queue if it's peak hour'.\n\nServices and food are too good with tea on the house.\nWe tried the 59th menu. As for the desert, earlier we tried bakalava and kenefa (which is very demanding).\n\nTransportation is very much accessible with U8 & S-bahn are very close to walking distance and bus halltestelle just one block away.\n\nThe only downside to me is that they don't accept the card if the total amount is less than 10 euro."", 'Everything is better than perfect, you do no need to pay too much money as others. It’s marvellous. Love it ❤️ Also Turkish is at your service ❤️❤️❤️', 'This place reminds you a local turkish restaurant. They have food of the day or you can order different type of grill dishes. It never disappoints.\n\nFood portions are quite big and price is good.\n\nWe have tried their lahmacun, kuru fasulye, grilled chicken and kofte sandwiches. All are very tasty and fresh. They serve cacik sauce or salad with all dishes. Both are also super yummy.\n\nWe come here again and again, so highly recommended.']","[5, 5, 5]"
ChIJScNbb5tPqEcRcVs-V5hxjLQ,Pho Phan,"Vietnamese pho noodle soups, spring rolls & Thai curries at a stylish place with a terrace.",1,"Hermannstraße 151, Berlin-Bezirk Neukölln",4.4,"Monday: 11:30 AM – 11:00 PM, Tuesday: 11:30 AM – 11:00 PM, Wednesday: 11:30 AM – 11:00 PM, Thursday: 11:30 AM – 11:00 PM, Friday: 11:30 AM – 11:00 PM, Saturday: 11:30 AM – 11:00 PM, Sunday: 12:00 – 11:30 PM",1218,"['Super nice restaurant. The food is delicious and at reasonable prices. The waiters are also really friendly. I go there often as it is in my street and I’ve never been disappointed with the quality. I would highly recommend :) (also they are super fast for lunch breaks)', 'Great place to grab a bite of Vietnamese food in Neukölln. Close to the Hermannstraße station, it’s very convenient to find this amazing restaurant. First time coming here and I’m immediately hooked. The food is so good! I really loved my order of glass noodles with egg and veggies it was really well put together and all the other small dishes we got was also good!\n\nI really recommend trying this place out, hidden gem in Neukölln. Absolutely will be back again especially the staff, so friendly and they such a lovely smile.', 'The service was not the most attentive and food good but rather average. The veggie variety is quite nice and the staff actually followed me down the street when I left without the food I was taking to go. That was very sweet. Interior also pretty but that was it really']","[5, 5, 3]"
ChIJ2fwmCZNPqEcR3cGvIgphsLY,Mira Restaurant,"Casual fixture serving globally inspired breakfasts, including simits, bagels, pancakes & smoothies.",None,"Hermannstraße 157, Berlin-Bezirk Neukölln",4.3,"Monday: 8:00 AM – 1:00 AM, Tuesday: 8:00 AM – 1:00 AM, Wednesday: 8:00 AM – 1:00 AM, Thursday: 8:00 AM – 1:00 AM, Friday: 8:00 AM – 2:00 AM, Saturday: 8:00 AM – 2:00 AM, Sunday: 8:00 AM – 2:00 AM",1425,"['We stopped in here for breakfast, and in all honesty we really couldn’t have selected in more fitting establishment. We had the farmer – breakfast, and the vegan breakfast, which was served to us with one bread and simit each. we also got the Biscoff pancakes, and everything was served with a healthy portion of fruit. Service at this place was excellent staff friendly, and if you come here you’re even in for a chilly surprise… We spent about €20 per person on an admittedly lavish brunch. 10/10.', 'Cash only eatery that was absolutely amazing. Insanely great prices and so many options to choose from. Superb coffee, and the food that was delivered was so fresh and tasty. In our visit to Berlin it will be hard to not just come here for breakfast each day!', 'This is by far the best kebap place we have been in Germany.\n\nTheir kebaps are very tasty and service is also very good. Portion is very big, if you are nit very hungry, 1 dish is also enough.\n\nWe have tried many dishes (Yogurtlu Kebap, Beyti Kebab, Chicken Shish Kebap, Meze platters, Grilled vegetable salad) and everything was good all time.\n\nThey give salad and meze plate as a starter before your main dish comes. They also give tea and baklava in the end.\n\nWhenever we want to eat kebap, we always come here.']","[5, 5, 5]"
ChIJxcPlm0tPqEcRhOa2cqnzxtc,Anh Em Restaurant,"Unassuming eatery fixing up Asian staples including bao burgers, sushi, noodle dishes & pho.",2,"Hermannstraße 154, Berlin-Bezirk Neukölln",4.7,"Monday: 12:00 – 10:30 PM, Tuesday: 12:00 – 10:30 PM, Wednesday: 12:00 – 10:30 PM, Thursday: 12:00 – 10:30 PM, Friday: 12:00 – 10:30 PM, Saturday: 12:00 – 10:30 PM, Sunday: 12:00 – 10:30 PM",744,"['Asian Fusion dishes in a rustic-chic Vietnamese setting. The owner is super nice and friendly. Sushi was fresh!\nMy recommendations,\n✨Summer roll with Shrimp: 5.9€\n✨Pulled Chicken Bao Burger: 14€\n✨Beef Pad Thai: 14€\n✨Sushi Menu for 2: 38€\n✨Red Sun Cocktail: 7€', 'Huge menue with diverse Asian options. The starters are magical, the different non-alcoholic drinks were delicious and came with great, fresh garnish. The main courses also convinced us to make Anh Em our new go-to spot for fresh, tasty, healthy food at Hermannstraße.\nVery suitable for any group of vegans, vegetarians and omnivores 😀', 'Went there for lunch because of their ratings and it was very good. Had a veggie curry with peanut sauce and all tasted fresh and well spiced. I loved their menu as it contains the story of the restaurant and the two brothers that own it. Stuff was super friendly. It’s loud if you did outside because of the street but nice ambience inside. I will come back as there is a lot to discover on their menu!']","[5, 5, 4]"
ChIJdX-nSWtSqEcRwMBr3V4Vbcg,Ristorante Firenze,Classic Italian pasta & seafood in an elegant room with wall murals & floor-to-ceiling wine shelves.,2,"Florastraße 27, Berlin-Bezirk Pankow",4.5,"Monday: 12:00 PM – 12:00 AM, Tuesday: 12:00 PM – 12:00 AM, Wednesday: 12:00 PM – 12:00 AM, Thursday: 12:00 PM – 12:00 AM, Friday: 12:00 PM – 12:00 AM, Saturday: 12:00 PM – 12:00 AM, Sunday: 12:00 PM – 12:00 AM",1643,"['We come here often for their delicious menu. The food is fresh and tasty. The service is premium. They are kind and helpful for selections both for food and beverages. The price is quite reasonable. It is spacious for larger groups. Reservation is needed in advance. It must be visited at least once or twice a month. Recommend.', '3 stars for the food: the mixed appetizer (cold cuts basically) was by far the best dish. The caprese appetizer had good mozzarella but tasteless, small tomatoes that hadn’t ripened. Both pasta dishes were mediocre. The Tagliatelle Firenze: under seasoned, tomato sauce wasn’t good and the beef was over cooked and chewy. The tortellini were just ok, supermarket quality. The restaurant does offer a decent selection of Italian wines, which is nice, but the food needs quite a bit of improvement. The reason I’m giving this restaurant 4 stars is the cozy atmosphere and relatively low prices. Otherwise, definitely not the best Italian restaurant in Berlin. Just a place to have a glass of wine with some Italian style tapas on the side.', 'Amazing italian food, good prices and the treatment is great. I had truffle pasta and I really recommend it.']","[5, 4, 5]"
ChIJ3_KJzGpSqEcRAI3pA5OMYTM,LA PAZ,"Colorful venue with a terrace, offering burritos, enchiladas & classic tequila cocktails.",2,"Florastraße 14, Berlin-Bezirk Pankow",4.3,"Monday: 4:00 – 11:00 PM, Tuesday: 4:00 – 11:00 PM, Wednesday: 4:00 – 11:00 PM, Thursday: 4:00 – 11:00 PM, Friday: 4:00 PM – 12:00 AM, Saturday: 12:00 PM – 12:00 AM, Sunday: 12:00 – 10:00 PM",842,"['The restaurant has a nice environment, with both indoor and outdoor sections, and good music inside. In terms of price, eating with friends would be a better deal because I ordered a few glasses of wine, so it seemed more expensive, but the food portions were adequate. The waiters here are very friendly.\n\nThere was a little situation when paying, but the waiter was very nice and the other customers were kind enough to help, which made me impressed', 'Visited this in my birthday. I had some pasta and it was delicious! The waiter was super nice and he even gave me a shot for free!', 'If you know and like Mexican food, this is not it. If anything is more Tex-Mex, but not even that. We order two different dishes, and both had the same in common; like eating meet with no flavor, with very big chunks of vegetables in a tomato salse soup. And to top of, price is ridiculous for what you get. This is no way anything near Mexican food.']","[5, 5, 1]"
ChIJeYPGC6BPqEcRAfIx8aaN74U,Louis Café-Restaurant,"Long-standing, retro-style dining room for Austrian classics, including massive schnitzels.",1,"Richardplatz 5, Berlin-Bezirk Neukölln",4.3,"Monday: Closed, Tuesday: 12:30 – 10:30 PM, Wednesday: 12:30 – 10:30 PM, Thursday: 12:30 – 10:30 PM, Friday: 12:30 – 10:30 PM, Saturday: 12:30 – 10:30 PM, Sunday: 12:30 – 10:30 PM",1551,"['One of the best spots in the neighborhood. Nothing fancy, just good beer and delicious home-cooked food. The ""normal"" schnitzel is far too big, but the small portion and the veal schnitzel are much better, in my opinion.', ""Walked from our hotel to the Louis-Cafe restaurant and didn't regret it.  Very friendly staff and the restaurant was quiet for lunch.  We chose an outdoor table in the shade and the light breeze made the temperature perfect.\n\nWe ordered the schnitzel (the big one😁) and it lives up to is name.  I'm a big eater and didn't finish half of it.   My wife and son ordered the chicken in mushroom sauce and it was great also.  We also ordered salads, but I missed the opportunity for pictures...\n\nThis cafe is definitely worth the walk and I'll be back here the next time in Berlin to try that schnitzel again"", 'Unfortunately, this was not the schnitzel i was expecting. Upon touching it with the fork the crust was just falling off. Maybe the pork one would taste better. The classic wiener one was just bad (to put it simply). Sad 😔\n\nSpent almost 30eur for schnitzel and 2 beers - was left disappointed to say the least']","[5, 5, 2]"
ChIJ53sPfKFPqEcR2YoRxw94yBw,Cafe Rix,Laid-back cafe-restaurant in a converted dance hall with gilt-framed mirrors & freshly baked cakes.,2,"Karl-Marx-Straße 141, Berlin-Bezirk Neukölln",4.1,None,808,"['Soup was amazing, the dishes were big and super tasty.\nWaitress was nice unfortunately she was a bit flooded with customers. Nevertheless she did a good job.\nWe discovered this hidden gem over Neo and we will definitely come back!', 'Giving 2 stars just because of the interior but very bad service. The waitress at the bar was very much disinterested in serving us. She looked very busy in some sort of paperwork. Also, be mindful that the place is not very hygienic for example. Our spoons with the coffee were picked from the dirty uncleaned basket of utensils and quickly washed off and kept on the plate. Disgusting !', 'Historic building hidden from the busy street just next to the metro station. Visited by locals rather then hipster expats. Traditional breakfast buffet on the weekend from 10 to 14-15, with simple but tasty and varied offerings. Coffee is not special but quiet good.']","[5, 2, 5]"
ChIJC-mZa6BPqEcRMXhPH5jFJyo,Vux,"Understated place with a wall of framed pictures, making vegan cakes, waffles & light meals.",2,"Wipperstraße 14, Berlin-Bezirk Neukölln",4.6,"Monday: Closed, Tuesday: Closed, Wednesday: 11:00 AM – 6:00 PM, Thursday: 11:00 AM – 6:00 PM, Friday: 11:00 AM – 6:00 PM, Saturday: 11:00 AM – 6:00 PM, Sunday: 11:00 AM – 6:00 PM",418,"['Always love visiting Vux, their vegan cakes are some of the best in Berlin. My favourite I’ve had there is the lemon meringue pie, but the cheesecake I tried last time was also super good - I think I ate the whole thing in one minute. The iced matcha was also lovely. Their savouries are also excellent if you’re looking for lunch, I particularly like the bao buns.', 'This is a super cute vegan cafe. The bagels were delicious, we got the seitan and the sun dried tomato chickpea. It was so hard to choose which cake to try, they all looked so amazing… but I went with the struesel and it was very good. Coffee was excellent as well. We will come again next time we’re in Berlin!', 'Lovely calm atmosphere with friendly staff. Amazing vegan cheesecake and cinny buns.  Coffee great too.\nRichtig coole Musik!!']","[5, 5, 5]"
